,rank,five_card_total_hands,hand_representation,hand_type,hand_description,hand_value,hand_prime_value
0,1,4,A K Q J T,SF,Royal Flush,7936,31367009
1,2,4,K Q J T 9,SF,King-High Straight Flush,3968,14535931
2,3,4,Q J T 9 8,SF,Queen-High Straight Flush,1984,6678671
3,4,4,J T 9 8 7,SF,Jack-High Straight Flush,992,2800733
4,5,4,T 9 8 7 6,SF,Ten-High Straight Flush,496,1062347
5,6,4,9 8 7 6 5,SF,Nine-High Straight Flush,248,323323
6,7,4,8 7 6 5 4,SF,Eight-High Straight Flush,124,85085
7,8,4,7 6 5 4 3,SF,Seven-High Straight Flush,62,15015
8,9,4,6 5 4 3 2,SF,Six-High Straight Flush,31,2310
9,10,4,5 4 3 2 A,SF,Five-High Straight Flush,4111,8610
10,11,4,A A A A K,4K,Four Aces,6144,104553157
11,12,4,A A A A Q,4K,Four Aces,5120,87598591
12,13,4,A A A A J,4K,Four Aces,4608,81947069
13,14,4,A A A A T,4K,Four Aces,4352,64992503
14,15,4,A A A A 9,4K,Four Aces,4224,53689459
15,16,4,A A A A 8,4K,Four Aces,4160,48037937
16,17,4,A A A A 7,4K,Four Aces,4128,36734893
17,18,4,A A A A 6,4K,Four Aces,4112,31083371
18,19,4,A A A A 5,4K,Four Aces,4104,19780327
19,20,4,A A A A 4,4K,Four Aces,4100,14128805
20,21,4,A A A A 3,4K,Four Aces,4098,8477283
21,22,4,A A A A 2,4K,Four Aces,4097,5651522
22,23,4,K K K K A,4K,Four Kings,6144,76840601
23,24,4,K K K K Q,4K,Four Kings,3072,58098991
24,25,4,K K K K J,4K,Four Kings,2560,54350669
25,26,4,K K K K T,4K,Four Kings,2304,43105703
26,27,4,K K K K 9,4K,Four Kings,2176,35609059
27,28,4,K K K K 8,4K,Four Kings,2112,31860737
28,29,4,K K K K 7,4K,Four Kings,2080,24364093
29,30,4,K K K K 6,4K,Four Kings,2064,20615771
30,31,4,K K K K 5,4K,Four Kings,2056,13119127
31,32,4,K K K K 4,4K,Four Kings,2052,9370805
32,33,4,K K K K 3,4K,Four Kings,2050,5622483
33,34,4,K K K K 2,4K,Four Kings,2049,3748322
34,35,4,Q Q Q Q A,4K,Four Queens,5120,37864361
35,36,4,Q Q Q Q K,4K,Four Queens,3072,34170277
36,37,4,Q Q Q Q J,4K,Four Queens,1536,26782109
37,38,4,Q Q Q Q T,4K,Four Queens,1280,21240983
38,39,4,Q Q Q Q 9,4K,Four Queens,1152,17546899
39,40,4,Q Q Q Q 8,4K,Four Queens,1088,15699857
40,41,4,Q Q Q Q 7,4K,Four Queens,1056,12005773
